Plate_Number,Date,IN_Time
KLO8AM734,2021-06-02,13:18:35.727982
KL7CQ5659,2021-06-02,13:20:01.704709
KL4109517,2021-06-02,13:21:22.090934
KL7CQ5659,2021-06-02,13:22:52.014266
KL07CM3470,2021-06-02,13:23:49.551735
KLO7BX6486,2021-06-02,13:25:01.719778
KL42B5504,2021-06-02,13:26:18.766568
KL35B1953,2021-06-02,13:27:24.678025
KL45T3876,2021-06-02,13:28:44.460140
KL45T3876,2021-06-02,13:29:56.274330
KLO7CH5826,2021-06-02,13:31:41.452861
KL46L1546,2021-06-02,13:32:50.335278
KLO8AM734,2021-06-02,15:11:19.220819
KL7CQ5659,2021-06-02,15:12:41.979689
KL4109517,2021-06-02,15:14:24.607936
